,standard_names,Population (2020),lat,lng,Confirmed,stringency_index,Infection_rate
143,Sri Lanka,21428970,7.873053999999999,80.77179699999998,36049.0,45.66225182301323,0.0622%
144,Sudan,44019263,12.862807,30.217636,22265.0,50.65156871832901,0.0104%
145,Suriname,587541,3.919305000000001,-56.02778299999999,5459.0,58.361363178935754,0.4058%
146,Sweden,10110233,60.12816100000001,18.643501,367120.0,47.712665898617495,1.2264%
147,Switzerland,8665615,46.818188,8.227511999999999,403989.0,41.89244809819552,1.9943%
148,Syria,17571053,34.80207499999999,38.99681500000001,9928.0,51.73650627240144,0.0123%
149,Taiwan,23824369,23.69781,120.960515,1629.0,24.497489533825448,0.0041%
150,Tajikistan,9573310,38.861034,71.276093,12888.0,33.46973068841924,0.0409%
151,Tanzania,60012400,-6.369028,34.888822,509.0,21.55558422939068,0.0008%
152,Thailand,69830779,15.870032,100.992541,4331.0,45.48047670250897,0.0023%
153,Timor-Leste,1322667,-8.874217,125.727539,31.0,31.38505892349524,0.0017%
154,Togo,8310934,8.619543,0.824782,3350.0,45.21020609318998,0.0077%
155,Trinidad and Tobago,1400283,10.691803,-61.222503,6955.0,59.1809872080089,0.1980%
156,Tunisia,11839918,33.886917,9.537499,117582.0,43.99149014336917,0.3497%
157,Turkey,84495243,38.963745,35.243322,1982090.0,53.58508741669283,1.5897%
158,Uganda,45974931,1.373333,32.290275,30391.0,61.061570016067236,0.0209%
159,Ukraine,43686577,48.379433,31.1655799,752343.0,52.4590469208211,0.8081%
160,United Arab Emirates,9910892,23.424076,53.847818,191150.0,46.89885363366704,0.3878%
161,United Kingdom,67948282,55.378051,-3.435973,2173896.0,56.888553272926714,0.9109%
162,United States,331341050,37.09024,-95.712891,17459296.0,56.0458798261126,1.3467%
163,Uruguay,3475842,-32.522779,-55.765835,12451.0,37.66480491551458,0.1753%
164,Uzbekistan,33551824,41.377491,64.585262,75675.0,50.968374551971316,0.0533%
165,Vanuatu,308337,-15.376706,166.959158,1.0,38.58962365591398,0.0003%
166,Venezuela,28421581,6.42375,-66.58973,109395.0,67.82868266735119,0.0999%
167,Vietnam,97490013,14.058324,108.277199,1410.0,56.78596385754894,0.0005%
168,Yemen,29935468,15.552727,48.516388,4023.0,29.630524926686213,0.0069%
169,Zambia,18468257,-13.133897,27.849332,18575.0,38.758279291805714,0.0332%
170,Zimbabwe,14899771,-19.015438,29.154857,12087.0,61.008550179211454,0.0223%
